query,docid,rating
tienda remolque,638519238,3
tienda remolque,638517900,3
tienda remolque,640105170,3
tienda remolque,638537663,3
tienda remolque,638153133,3
tienda remolque,622555426,3
tienda remolque,555448128,3
tienda remolque,454023555,3
tienda remolque,563025358,0
tienda remolque,294754961,0
tienda remolque,627361810,3
tienda remolque,625695913,3
tienda remolque,624963133,0
tienda remolque,624951258,0
tienda de campaña,640070998,3
tienda de campaña,640092469,3
tienda de campaña,640022776,3
tienda de campaña,640113241,3
tienda de campaña,640073013,3
tienda de campaña,639751441,3
tienda de campaña,639665258,3
tienda de campaña,639692678,3
tienda de campaña,639677160,3
tienda de campaña,639671643,3
tienda de campaña,639916856,3
tienda de campaña,639897519,3
tienda de campaña,639844082,3
tienda de campaña,639639314,3
tienda de campaña,639665847,3
Sony Xperia,639883552,3
Sony Xperia,639664231,3
Sony Xperia,639652784,3
Sony Xperia,640015663,3
Sony Xperia,639204633,3
Sony Xperia,639022222,3
Sony Xperia,638957174,3
Sony Xperia,639679732,3
Sony Xperia,639761879,3
Sony Xperia,639397240,3
Sony Xperia,640059961,3
Sony Xperia,640049705,3
Sony Xperia,640055602,3
Sony Xperia,639897046,3
Sony Xperia,639901436,3
soldadora,640091652,3
soldadora,639912886,3
soldadora,639552042,3
soldadora,639311396,2
soldadora,639282138,3
soldadora,639916573,3
soldadora,638553519,3
soldadora,638420128,3
soldadora,638330950,3
soldadora,639907589,3
soldadora,638420073,3
Smart tv 40”,640097357,3
Smart tv 40”,639547051,3
Smart tv 40”,640039553,1
Smart tv 40”,639884729,3
Smart tv 40”,638988890,3
Smart tv 40”,638628056,3
Smart tv 40”,640063765,3
Smart tv 40”,639247381,3
Smart tv 40”,639829689,3
Smart tv 40”,638978772,3
Smart tv 40”,638706686,3
slx,639889290,3
slx,639889247,3
slx,639889061,3
slx,640116931,2
slx,638352503,3
slx,639932022,3
slx,639673172,3
slx,638983451,3
slx,639271511,3
slx,638534877,3
slx,638390966,3
selección española baloncesto,638915658,3
selección española baloncesto,636886183,3
selección española baloncesto,639007097,3
selección española baloncesto,640058027,3
selección española baloncesto,638948445,3
selección española baloncesto,635146063,3
selección española baloncesto,634334587,3
selección española baloncesto,634337905,3
selección española baloncesto,637686536,3
selección española baloncesto,635178523,3
secadora,640121086,3
secadora,639986411,3
secadora,640110429,3
secadora,640093801,3
secadora,639911967,3
secadora,639879817,3
secadora,639904382,3
secadora,639870736,3
secadora,639888230,3
secadora,639872371,3
secadora,639822033,3
salomon goretex  43,638674051,3
salomon goretex  43,638952907,2
salomon goretex  43,636481536,3
salomon goretex  43,635207255,3
salomon goretex  43,634914861,3
salomon goretex  43,639020086,3
salomon goretex  43,638683062,3
salomon goretex  43,630080037,3
salomon goretex  43,629403172,3
salomon goretex  43,632947015,3
Rota,,
ropas,640107793,0
ropas,640093790,2
ropas,639705157,2
ropas,639418989,2
ropas,638092433,2
ropas,638094085,2
ropas,633862056,2
ropas,638434270,0
ropas,639222976,2
ropas,637770786,2
rogue trader,635473490,3
rogue trader,634201994,3
rogue trader,633417852,3
rogue trader,632562427,3
rogue trader,631109823,3
rogue trader,630390224,3
rogue trader,626899069,3
rogue trader,628198214,3
rogue trader,625904019,3
rogue trader,619840944,3
rock band,639712284,3
rock band,639855440,3
rock band,639902663,3
rock band,640116855,3
rock band,639909386,3
rock band,638020207,3
rock band,639447913,3
rock band,639229557,3
rock band,639270447,3
rock band,639316340,3
rock band,637699500,3
Reposa cabezas e36,530748673,3
Reposa cabezas e36,499688484,3
Reposa cabezas e36,150442124,3
Reposa cabezas e36,220715448,3
Reposa cabezas e36,24836641,3
Reposa cabezas e36,615790398,0
Reposa cabezas e36,551605036,0
Reposa cabezas e36,518011893,0
Renault Scénic,634555422,3
Renault Scénic,640073134,3
Renault Scénic,636479125,3
Renault Scénic,622563580,3
Renault Scénic,575908008,3
Renault Scénic,561183407,3
Renault Scénic,514317684,3
Renault Scénic,514313666,3
Renault Scénic,533517044,3
Renault Scénic,636475910,3
Renault Scénic,639935089,3
Renault laguna,639699712,3
Renault laguna,639853535,3
Renault laguna,631088642,3
Renault laguna,640004116,3
Renault laguna,639931542,3
Renault laguna,640051493,3
Renault laguna,561458896,3
Renault laguna,636475209,3
Renault laguna,638254698,3
Renault laguna,638267023,3
remolque porta coches,626937024,3
remolque porta coches,638480221,3
remolque porta coches,639935797,2
remolque porta coches,634518953,3
remolque porta coches,633697295,3
remolque porta coches,640007419,0
remolque porta coches,639974961,0
remolque porta coches,639499537,0
remolque porta coches,639192978,0
remolque porta coches,637183528,0
pt 1890,635931934,3
pt 1890,633021809,3
pt 1890,632250272,3
pt 1890,607394942,3
pt 1890,635569836,3
pt 1890,605414613,3
Playmobil medieval,639354526,3
Playmobil medieval,639284751,3
Playmobil medieval,639302548,3
Playmobil medieval,639012448,3
Playmobil medieval,638819935,3
Playmobil medieval,638443406,3
Playmobil medieval,638368694,3
Playmobil medieval,639739589,3
Playmobil medieval,638348132,3
Playmobil medieval,639746994,3
Playmobil medieval,638027740,3
planxa polti,622413392,3
planxa polti,591261929,3
planxa polti,559808826,3
planxa polti,574787676,2
planxa polti,598867956,1
planxa polti,312090573,3
planxa polti,282184013,1
Pilotos e30,639365011,2
Pilotos e30,637913274,3
Pilotos e30,640108670,3
Pilotos e30,639999460,3
Pilotos e30,639904529,3
Pilotos e30,639685456,3
Pilotos e30,640055445,3
Pilotos e30,640016451,3
Pilotos e30,639991145,3
Pilotos e30,639959497,3
peugeot 207 piezas,639747343,3
peugeot 207 piezas,639037276,2
peugeot 207 piezas,638923272,3
peugeot 207 piezas,639422431,3
peugeot 207 piezas,639764605,1
peugeot 207 piezas,639272191,3
peugeot 207 piezas,639864852,3
peugeot 207 piezas,639048932,3
peugeot 207 piezas,638007400,3
peugeot 207 piezas,637998523,3
ordenador teclado retroiluminado,630763661,3
ordenador teclado retroiluminado,638850414,2
ordenador teclado retroiluminado,632500362,3
ordenador teclado retroiluminado,622565752,2
ordenador teclado retroiluminado,631395021,3
ordenador teclado retroiluminado,624159464,3
ordenador teclado retroiluminado,637044060,3
ordenador teclado retroiluminado,637373471,3
ordenador teclado retroiluminado,639298584,3
ordenador teclado retroiluminado,638422921,3
ordenador teclado retroiluminado,626465908,1
ordenador teclado retroiluminado,616944248,3
onkyo,639620961,3
onkyo,639379168,3
onkyo,639783197,3
onkyo,639800079,3
onkyo,639207438,3
onkyo,639920542,3
onkyo,638628348,3
onkyo,639189778,3
onkyo,639330319,3
onkyo,640022725,3
onkyo,638322298,3
neca,639365760,3
neca,639904015,3
neca,639359212,3
neca,639355175,3
neca,639239940,3
neca,639325849,3
neca,639325686,3
neca,639337101,3
neca,639335452,3
neca,639339244,3
neca,638372308,3
neca,638379395,3
naturaleza,,
muebles Ikea,633296961,1
muebles Ikea,637818367,1
muebles Ikea,638977130,3
muebles Ikea,640072803,3
muebles Ikea,639350611,3
muebles Ikea,639782003,3
muebles Ikea,640131104,3
muebles Ikea,640110765,3
muebles Ikea,639260075,3
muebles Ikea,639275134,3
muebles Ikea,601372390,1
muebles Ikea,581993822,1
muebles Ikea,638541432,3
mueble industrial,638960302,3
mueble industrial,640089343,3
mueble industrial,633488576,3
mueble industrial,637519094,3
mueble industrial,639091175,3
mueble industrial,638865423,3
mueble industrial,635744760,3
mueble industrial,638336638,3
mueble industrial,638349061,3
mueble industrial,638549945,2
Montesa 360,639816909,3
Montesa 360,639176587,2
Montesa 360,639898823,2
Montesa 360,639640569,2
Montesa 360,638213021,2
Montesa 360,639001944,3
Montesa 360,639330211,3
Montesa 360,637754074,2
Montesa 360,637809290,3
Montesa 360,635502296,3
mono de moto,639911305,3
mono de moto,639326903,3
mono de moto,639682334,3
mono de moto,639888767,3
mono de moto,638517620,3
mono de moto,639388665,3
mono de moto,639332242,3
mono de moto,639767635,3
mono de moto,638535893,3
mono de moto,639444552,3
mono de moto,638332229,3
Militar,,
Microcar,639921364,3
Microcar,639921449,3
Microcar,639391359,3
Microcar,639374807,3
Microcar,634202432,3
Microcar,639798850,3
Microcar,639492923,3
Microcar,638276946,3
Microcar,639041029,3
Microcar,602175055,3
Microcar,637004716,3
mercedes v,636761668,3
mercedes v,639790074,3
mercedes v,639937918,3
mercedes v,606575583,3
mercedes v,639947017,3
mercedes v,606362600,3
mercedes v,639281600,3
mercedes v,639984241,3
mercedes v,639423653,3
mercedes v,639412896,3
mascarilla fpp2,639492889,3
mascarilla fpp2,637981181,3
mascarilla fpp2,640038528,3
mascarilla fpp2,639457858,3
mascarilla fpp2,639467184,3
mascarilla fpp2,639473170,3
mascarilla fpp2,639450212,3
mascarilla fpp2,639459565,3
mascarilla fpp2,639453920,3
mascarilla fpp2,639473124,3
mascarilla fpp2,636345588,3
masajista,639910402,3
masajista,637641444,3
masajista,639789346,3
masajista,635165695,3
masajista,639451391,3
masajista,640114176,2
masajista,630913142,3
masajista,631059107,3
masajista,639851373,3
masajista,361608857,3
masajista,638785279,3
Marco Polo,,
maison monde,640093436,3
maison monde,640007944,3
maison monde,639915862,3
maison monde,639886768,3
maison monde,639507653,3
maison monde,640097132,3
maison monde,639409601,3
maison monde,639606883,3
maison monde,639356206,3
maison monde,639312170,3
maison monde,639076243,3
magic keyboard no funciona,640115517,1
magic keyboard no funciona,640014808,1
magic keyboard no funciona,638456934,2
magic keyboard no funciona,635624706,1
magic keyboard no funciona,633319474,1
magic keyboard no funciona,636378397,3
magic keyboard no funciona,634289011,3
magic keyboard no funciona,638182556,1
magic keyboard no funciona,633038991,1
magic keyboard no funciona,628196922,1
M2,,
lona techo,639554050,3
lona techo,638179672,2
lona techo,566796799,1
lona techo,630676800,2
lona techo,638541724,2
lona techo,639920427,2
lona techo,637355494,1
lona techo,625900102,2
lona techo,623027610,3
lona techo,637997727,1
lona techo,632764342,2
libro electrónico,640021511,3
libro electrónico,639900033,3
libro electrónico,639765191,3
libro electrónico,639752240,3
libro electrónico,639383133,3
libro electrónico,639910792,3
libro electrónico,639952996,3
libro electrónico,639222884,3
libro electrónico,639198756,3
libro electrónico,639735793,3
libro electrónico,638391029,3
lavabo blanco 70 encima,636037964,3
lavabo blanco 70 encima,638540367,1
lavabo,640129074,3
lavabo,639996752,3
lavabo,639939498,3
lavabo,640022451,3
lavabo,639870357,3
lavabo,639908911,3
lavabo,639882604,3
lavabo,639915878,3
lavabo,639899897,2
lavabo,639665099,3
lavabo,640110328,3
lavabo,639745445,0
Jaulas,639860867,2
Jaulas,639842495,2
Jaulas,639821211,3
Jaulas,639639186,3
Jaulas,639520640,3
Jaulas,639508285,3
Jaulas,639643001,3
Jaulas,639613521,3
Jaulas,639160224,3
Jaulas,639115308,3
iphone,640097556,3
iphone,640051656,3
iphone,640017958,3
iphone,640017585,3
iphone,640050962,3
iphone,639938321,3
iphone,639952813,3
iphone,639824146,3
iphone,639909557,3
iphone,639909376,3
iphone,639945228,3
ipad mini 5,635381351,3
ipad mini 5,639594111,1
ipad mini 5,638522466,3
ipad mini 5,639894714,1
ipad mini 5,636995439,3
ipad mini 5,637022510,1
ipad mini 5,635927937,1
ipad mini 5,635904046,3
ipad mini 5,637803580,3
ipad mini 5,638281610,1
ipad mini 5,636498991,3
imperial assault,639331102,3
imperial assault,639331062,3
imperial assault,639327068,3
imperial assault,639334936,3
imperial assault,639312775,3
imperial assault,639670518,3
imperial assault,639851954,3
imperial assault,638407099,3
imperial assault,639239706,3
imperial assault,639190364,3
ibiza repro,638731216,3
ibiza repro,639968585,1
ibiza repro,639463328,1
ibiza repro,639945054,1
ibiza repro,637104986,1
ibiza repro,639475026,1
ibiza repro,636303289,3
ibiza repro,633753505,1
ibiza repro,633726461,1
ibiza repro,632345250,1
horquilla fox 29,639677140,1
horquilla fox 29,639712046,3
horquilla fox 29,639685814,3
horquilla fox 29,635650110,3
horquilla fox 29,638120309,3
horquilla fox 29,637875309,3
horquilla fox 29,638007203,3
horquilla fox 29,637823190,3
horquilla fox 29,638829829,3
horquilla fox 29,638515819,3
horquilla fox 29,632902822,3
gtx 1050,639922009,3
gtx 1050,639920011,3
gtx 1050,639908888,3
gtx 1050,639566843,1
gtx 1050,638719551,3
gtx 1050,639914779,3
gtx 1050,639900478,3
gtx 1050,639782887,3
gtx 1050,638776342,3
gtx 1050,640092707,3
gtx 1050,638409528,3
giradiscos,640107920,3
giradiscos,638916916,3
giradiscos,636575028,3
giradiscos,639432806,3
giradiscos,638465952,3
giradiscos,638994673,3
giradiscos,638154332,3
giradiscos,638733397,1
giradiscos,639017495,3
giradiscos,635155073,3
garmin,,
flash,,
dragon ball bluray,639870633,3
dragon ball bluray,640064879,3
dragon ball bluray,639414623,3
dragon ball bluray,635202107,3
dragon ball bluray,639928240,2
dragon ball bluray,639927209,2
dragon ball bluray,637512352,3
dragon ball bluray,635891911,3
dragon ball bluray,636692877,3
dragon ball bluray,639097020,1
dragon ball bluray,635854862,2
digitalizador negativos,639180914,3
digitalizador negativos,635103874,3
digitalizador negativos,634855525,3
digitalizador negativos,638785250,3
digitalizador negativos,616169823,3
digitalizador negativos,609537442,3
digitalizador negativos,594171953,3
digitalizador negativos,618544095,3
digitalizador negativos,553328342,3
digitalizador negativos,638382413,3
cube stereo 2020,636256852,3
cube stereo 2020,637873473,3
cube stereo 2020,632935925,3
cube stereo 2020,634369427,3
cube stereo 2020,630319031,2
cube stereo 2020,598734434,3
cube stereo 2020,628995761,3
cube stereo 2020,635504797,3
cube stereo 2020,639247283,1
cube stereo 2020,579539876,1
cómic flash,639778512,3
cómic flash,639603412,3
cómic flash,638883470,3
cómic flash,639686453,3
cómic flash,637446216,3
cómic flash,638422051,3
cómic flash,639201014,3
cómic flash,637510685,3
cómic flash,635518014,3
cómic flash,635533206,3
clavadora a bateria,638051331,3
clavadora a bateria,639007573,1
clavadora a bateria,638569494,3
clavadora a bateria,637752059,2
clavadora a bateria,635338881,3
clavadora a bateria,632131826,3
clavadora a bateria,630142586,3
clavadora a bateria,630573384,3
clavadora a bateria,635119423,3
clavadora a bateria,637474176,3
clavadora a bateria,622330236,2
chandal,639684530,2
chandal,636908515,2
chandal,640093902,3
chandal,639985302,2
chandal,639985426,2
chandal,639981956,2
chandal,639907190,2
chandal,639786606,2
chandal,639901476,2
chandal,639854276,3
chandal,639919842,2
chandal,639890772,3
chandal,637456562,3
cf reus,609659715,3
cf reus,579675874,3
cf reus,579692919,3
cf reus,490954139,3
cf reus,421643440,3
cf reus,146226095,0
cf reus,599224239,1
cf reus,336992096,1
cf reus,200835096,1
cbr600rr,639852154,3
cbr600rr,640109337,3
cbr600rr,639925210,1
cbr600rr,639595056,1
cbr600rr,640114895,3
cbr600rr,638492545,3
cbr600rr,639885967,1
cbr600rr,639878980,3
cbr600rr,639863890,3
cbr600rr,638645628,3
butacas,639930869,3
butacas,612303723,3
butacas,639799030,3
butacas,639920061,3
butacas,639350108,3
butacas,639259824,0
butacas,639103537,3
butacas,640062994,3
butacas,639007316,3
butacas,638953209,0
butacas,638819516,3
bolsos el corte ingles,639673523,3
bolsos el corte ingles,639289928,3
bolsos el corte ingles,639873508,3
bolsos el corte ingles,639330574,3
bolsos el corte ingles,639265822,3
bolsos el corte ingles,639919442,3
bolsos el corte ingles,639440062,3
bolsos el corte ingles,639352622,3
bolsos el corte ingles,638395640,3
bolsos el corte ingles,639595647,3
bolsos el corte ingles,637066678,3
bicicleta estatica,640057440,3
bicicleta estatica,640107109,3
bicicleta estatica,640046892,3
bicicleta estatica,640013658,3
bicicleta estatica,640088956,3
bicicleta estatica,637514749,3
bicicleta estatica,640039822,3
bicicleta estatica,639920579,3
bicicleta estatica,639920158,3
bicicleta estatica,639843494,3
bicicleta,640123338,3
bicicleta,640114057,3
bicicleta,640097816,3
bicicleta,640109680,3
bicicleta,640119351,3
bicicleta,640090036,3
bicicleta,640095385,3
bicicleta,640048003,3
bicicleta,640109129,3
bicicleta,640057150,3
bicicleta,640052940,3
bici carbono 29 12,639669183,3
bici carbono 29 12,639202815,1
bici carbono 29 12,639885678,3
bici carbono 29 12,639254619,3
bici carbono 29 12,638175048,3
bici carbono 29 12,638001693,3
bici carbono 29 12,637773513,3
bici carbono 29 12,640007928,1
bici carbono 29 12,638281841,3
bici carbono 29 12,638076192,3
bici carbono 29 12,633058569,3
bici carbono 29 12,635523014,3
berlingo,640095717,3
berlingo,640105120,3
berlingo,640097374,3
berlingo,640058537,3
berlingo,618298933,3
berlingo,608798935,3
berlingo,640021151,3
berlingo,521697045,3
berlingo,640107360,3
berlingo,640095536,3
berlingo,639283572,3
berlingo,639211233,3
beisbol rosa,,
beatles,639790488,3
beatles,639939549,3
beatles,639774920,3
beatles,638329743,2
beatles,639894863,2
beatles,639550706,2
beatles,639774858,3
beatles,639855935,3
beatles,636378890,2
beatles,639752307,3
beatles,634040579,2
beatles,639421842,3
baúl mimbre,639823224,3
baúl mimbre,639852338,3
baúl mimbre,640048302,3
baúl mimbre,640054444,3
baúl mimbre,640061925,3
baúl mimbre,640048579,3
baúl mimbre,639599586,3
baúl mimbre,639545909,3
baúl mimbre,558762131,3
baúl mimbre,639887458,3
barra dominadas,639947233,3
barra dominadas,640060647,3
barra dominadas,639817108,3
barra dominadas,639607152,3
barra dominadas,639614826,3
barra dominadas,639999589,3
barra dominadas,639793789,3
barra dominadas,640110243,3
barra dominadas,639858685,3
barra dominadas,639411492,3
bajo puerta,638386799,3
bajo puerta,638925116,1
bajo puerta,638161376,1
bajo puerta,637857416,3
bajo puerta,638159460,3
bajo puerta,638720564,3
bajo puerta,639167541,3
bajo puerta,636917767,3
bajo puerta,639865060,0
bajo puerta,638932804,0
Averiado,,
animal crossing caravana,619098067,3
animal crossing caravana,613499987,3
americana,640096161,3
americana,640040360,3
americana,640124860,3
americana,640068976,3
americana,639898457,3
americana,639873949,3
americana,639878811,3
americana,639889462,3
americana,639792812,3
americana,639780600,3
americana,631530243,3
alquiler Leganés pisos,639545265,0
alquiler,640050106,3
alquiler,640107773,3
alquiler,640114956,3
alquiler,640093710,3
alquiler,640095122,3
alquiler,611693006,3
alquiler,617344873,3
alquiler,640014658,3
alquiler,633668945,3
alquiler,636817592,3
alquiler,604625793,3
alquiler,597683675,3
alquiler,622079059,3
alquiler,634420227,3
alquiler,612535132,3
alquiler,600465010,3
alquiler,542202373,3
alquiler,604457849,3
alquiler,629887664,3
alquiler,640055357,3
Baby doll mujer,617263463,2
Baby doll mujer,616475816,2
Baby doll mujer,587123714,3
Baby doll mujer,532865403,2
Baby doll mujer,273641407,1
Baby doll mujer,614392357,0
Baby doll mujer,604657347,0
Baby doll mujer,607576867,0
Baby doll mujer,86356144,0
Baby doll mujer,569092185,2
GoPro karma,640101593,3
GoPro karma,640102830,2
GoPro karma,640078900,2
GoPro karma,637855046,2
GoPro karma,637834468,2
GoPro karma,638764337,3
GoPro karma,637794338,3
GoPro karma,636235712,1
GoPro karma,635942903,2
GoPro karma,634954832,2
Casa en venta rubi,639141013,2
Casa en venta rubi,633255413,3
Casa en venta rubi,622177893,3
Casa en venta rubi,638277542,1
Casa en venta rubi,618445967,3
Casa en venta rubi,630449147,1
Casa en venta rubi,618841176,3
Casa en venta rubi,618695569,3
Casa en venta rubi,617977599,3
Casa en venta rubi,600813449,1
Detector metales,640105106,3
Detector metales,639780463,3
Detector metales,639710891,3
Detector metales,639563509,2
Detector metales,639565308,2
Detector metales,639603668,3
Detector metales,639767159,3
Detector metales,639490953,3
Detector metales,639332038,3
Detector metales,639029430,3
Esquís Decathlon,629958319,3
Esquís Decathlon,624623819,3
Esquís Decathlon,632555103,3
Esquís Decathlon,632707349,2
Esquís Decathlon,629848995,3
Esquís Decathlon,627467357,2
Esquís Decathlon,619382418,3
Esquís Decathlon,630520114,2
Esquís Decathlon,620325160,3
Esquís Decathlon,617323437,2
Furgoneta equipada,639434938,3
Furgoneta equipada,624440525,3
Furgoneta equipada,624486557,3
Furgoneta equipada,637087743,1
Furgoneta equipada,621601783,1
Furgoneta equipada,624809326,3
Furgoneta equipada,628773061,3
Furgoneta equipada,621297816,3
Furgoneta equipada,627152141,1
Furgoneta equipada,619446191,1
500 liras 1991,632915260,3
500 liras 1991,630262147,3
500 liras 1991,617799344,3
500 liras 1991,566793239,3
500 liras 1991,578796517,3
500 liras 1991,528627518,3
500 liras 1991,637834108,2
500 liras 1991,371022779,3
500 liras 1991,412996261,2
500 liras 1991,146783258,3
Chaqueta fila,639435175,3
Chaqueta fila,639272874,3
Chaqueta fila,639370874,3
Chaqueta fila,638071733,3
Chaqueta fila,638400292,3
Chaqueta fila,639012803,3
Chaqueta fila,637765120,3
Chaqueta fila,635907569,3
Chaqueta fila,634465652,3
Chaqueta fila,633863457,3
Cuadro Yaris,608921129,0
Cuadro Yaris,635103682,0
Cuadro Yaris,638937165,3
Cuadro Yaris,638929235,3
Cuadro Yaris,638944980,3
Cuadro Yaris,638929268,3
Cuadro Yaris,638925245,3
Cuadro Yaris,638944866,3
Cuadro Yaris,638915377,3
Cuadro Yaris,638939179,3
Bicicletas 24 pulgadas,640094703,3
Bicicletas 24 pulgadas,635525694,3
Bicicletas 24 pulgadas,639231097,3
Bicicletas 24 pulgadas,636076701,3
Bicicletas 24 pulgadas,639608025,3
Bicicletas 24 pulgadas,638915281,3
Bicicletas 24 pulgadas,639331109,3
Bicicletas 24 pulgadas,639404301,3
Bicicletas 24 pulgadas,638454531,3
Bicicletas 24 pulgadas,638489092,3
Campopino Badajoz,,
C650,639836899,3
C650,639799561,3
C650,639393418,3
C650,639364234,3
C650,640071192,3
C650,638402818,3
C650,639189506,3
C650,594959582,3
C650,638944978,3
C650,638787969,3
C650,625886462,2
Gato sphyng,,
